"N"	"MLE"	"lower"	"upper"
"1"	0	0.545143663965183	0.157206772500601	0.900713628921042
"2"	5	0.276617725211293	0.0634054228721393	0.572128340027305
"3"	10	0.185328786691153	0.0398433223787392	0.408224572014557
"4"	15	0.139343024860509	0.029060661692909	0.316163434032633
"5"	20	0.111641372738125	0.0228737678855989	0.257712130323415
"6"	25	0.0931274606164384	0.0188596464815658	0.217410509112232
"7"	50	0.0509124431902509	0.0100465709362824	0.121863119065347
"8"	100	0.0267031619001381	0.00519347811298654	0.0648100868396584
"9"	150	0.0180976038908188	0.00350190842878152	0.044138040502024
"10"	200	0.0136867960079081	0.0026415396745035	0.0334633883892169
"11"	300	0.00920153763166232	0.00177121804549363	0.0225537327871421
"12"	374	0.00740564529187131	0.00142402501977095	0.0181700485047986
